R,I,A,S,E,C,carrera_id,nombre_carrera
5.71,6.82,1.7,2.36,5.23,2.0,44,Lic. en Biología Pesquera
6.38,6.6,1.74,2.19,6.17,1.67,44,Lic. en Biología Pesquera
6.07,7.25,3.81,3.53,6.15,3.82,44,Lic. en Biología Pesquera
6.04,6.67,1.53,1.67,4.99,2.69,44,Lic. en Biología Pesquera
6.29,7.82,2.93,3.59,6.19,2.33,44,Lic. en Biología Pesquera
6.73,7.59,3.8,2.53,5.77,3.15,44,Lic. en Biología Pesquera
5.62,6.56,2.94,2.87,4.94,3.27,44,Lic. en Biología Pesquera
5.79,7.63,1.58,2.13,4.87,1.72,44,Lic. en Biología Pesquera
6.97,6.69,3.1,2.68,6.25,2.03,44,Lic. en Biología Pesquera
6.09,6.71,2.03,1.71,6.18,1.92,44,Lic. en Biología Pesquera
6.59,7.23,2.51,3.99,5.02,2.16,44,Lic. en Biología Pesquera
6.24,6.49,2.22,3.64,5.22,1.66,44,Lic. en Biología Pesquera
5.67,7.58,3.03,2.96,4.84,2.0,44,Lic. en Biología Pesquera
6.03,7.03,3.79,3.91,6.19,2.28,44,Lic. en Biología Pesquera
5.63,7.9,1.54,3.45,5.1,2.57,44,Lic. en Biología Pesquera
5.61,7.54,3.38,2.75,5.55,2.72,44,Lic. en Biología Pesquera
6.14,7.4,2.68,1.93,5.11,2.88,44,Lic. en Biología Pesquera
7.02,6.84,2.01,3.03,4.95,2.77,44,Lic. en Biología Pesquera
6.75,7.4,2.31,3.09,5.39,3.28,44,Lic. en Biología Pesquera
5.73,7.49,2.06,3.12,5.23,2.9,44,Lic. en Biología Pesquera
6.0,7.14,1.57,2.58,6.08,2.09,44,Lic. en Biología Pesquera
5.78,7.1,2.7,1.68,5.18,2.63,44,Lic. en Biología Pesquera
5.65,7.48,3.16,2.24,5.64,3.59,44,Lic. en Biología Pesquera
6.88,7.62,2.19,2.61,5.82,2.39,44,Lic. en Biología Pesquera
6.48,6.47,2.98,3.81,5.19,3.68,44,Lic. en Biología Pesquera
7.07,7.7,3.77,2.13,5.59,1.65,44,Lic. en Biología Pesquera
6.23,6.72,2.72,2.79,5.41,1.79,44,Lic. en Biología Pesquera
6.9,7.39,3.54,3.15,5.53,2.35,44,Lic. en Biología Pesquera
5.98,7.04,2.9,2.77,6.17,3.65,44,Lic. en Biología Pesquera
6.34,7.41,3.09,1.71,5.94,1.55,44,Lic. en Biología Pesquera
6.42,7.26,1.83,3.94,5.84,3.91,44,Lic. en Biología Pesquera
6.99,6.64,3.07,1.75,5.42,2.08,44,Lic. en Biología Pesquera
5.81,6.42,2.93,3.78,5.01,1.68,44,Lic. en Biología Pesquera
6.74,7.43,1.5,3.6,5.8,3.63,44,Lic. en Biología Pesquera
7.09,7.39,1.89,3.1,5.45,1.77,44,Lic. en Biología Pesquera
5.87,6.52,3.27,3.56,6.09,2.02,44,Lic. en Biología Pesquera
6.88,6.42,3.09,1.79,5.04,2.66,44,Lic. en Biología Pesquera
6.14,6.63,3.89,2.62,5.66,3.09,44,Lic. en Biología Pesquera
6.04,6.53,3.73,3.73,5.14,2.63,44,Lic. en Biología Pesquera
6.74,7.65,1.63,1.98,6.02,3.15,44,Lic. en Biología Pesquera
6.15,7.57,3.02,1.73,4.84,2.81,44,Lic. en Biología Pesquera
6.76,7.02,3.87,3.17,5.56,2.32,44,Lic. en Biología Pesquera
6.13,7.66,2.5,2.8,5.41,3.78,44,Lic. en Biología Pesquera
6.89,7.02,3.74,3.45,6.06,2.22,44,Lic. en Biología Pesquera
5.96,7.05,1.77,3.98,5.25,2.45,44,Lic. en Biología Pesquera
5.92,7.66,2.37,1.57,5.46,2.25,44,Lic. en Biología Pesquera
5.87,6.56,1.9,2.75,5.54,1.76,44,Lic. en Biología Pesquera
6.1,7.2,3.17,1.6,4.88,2.07,44,Lic. en Biología Pesquera
6.04,7.76,2.48,2.22,5.2,3.2,44,Lic. en Biología Pesquera
5.81,7.72,1.75,1.91,6.23,3.28,44,Lic. en Biología Pesquera
6.85,7.79,2.37,2.98,5.09,3.0,44,Lic. en Biología Pesquera
6.12,7.17,3.76,3.04,5.25,2.7,44,Lic. en Biología Pesquera
6.7,7.88,1.53,2.28,6.2,2.17,44,Lic. en Biología Pesquera
6.99,6.99,1.78,3.94,5.05,2.52,44,Lic. en Biología Pesquera
6.28,7.71,3.2,3.59,5.73,3.81,44,Lic. en Biología Pesquera
6.66,7.73,3.74,2.17,5.93,1.71,44,Lic. en Biología Pesquera
5.76,6.96,3.5,3.41,5.59,2.99,44,Lic. en Biología Pesquera
5.61,7.08,2.21,3.12,5.31,3.14,44,Lic. en Biología Pesquera
6.45,7.77,1.65,3.26,5.62,2.38,44,Lic. en Biología Pesquera
6.02,7.0,2.73,3.24,5.18,2.96,44,Lic. en Biología Pesquera
5.7,7.11,1.58,1.98,4.9,3.15,44,Lic. en Biología Pesquera
6.71,7.05,2.11,2.78,5.21,1.77,44,Lic. en Biología Pesquera
6.96,6.44,3.04,3.78,5.7,1.82,44,Lic. en Biología Pesquera
6.35,6.77,2.01,3.17,5.34,3.25,44,Lic. en Biología Pesquera
6.9,6.51,2.66,3.91,6.07,1.73,44,Lic. en Biología Pesquera
5.94,6.62,2.7,3.23,5.2,1.84,44,Lic. en Biología Pesquera
6.35,7.27,2.93,3.76,5.65,3.6,44,Lic. en Biología Pesquera
6.42,6.79,3.73,2.59,5.38,3.07,44,Lic. en Biología Pesquera
6.83,6.54,3.42,2.54,6.14,3.44,44,Lic. en Biología Pesquera
6.74,6.58,2.19,3.28,5.84,1.98,44,Lic. en Biología Pesquera
7.02,7.68,2.38,1.91,6.29,3.28,44,Lic. en Biología Pesquera
6.02,7.21,3.61,3.35,4.92,2.44,44,Lic. en Biología Pesquera
6.82,6.5,3.83,3.64,5.83,3.76,44,Lic. en Biología Pesquera
6.67,6.48,3.31,1.98,5.28,2.09,44,Lic. en Biología Pesquera
6.73,7.88,4.0,2.87,5.95,2.14,44,Lic. en Biología Pesquera
5.69,7.78,2.97,2.2,5.91,3.19,44,Lic. en Biología Pesquera
6.58,6.57,1.55,3.31,5.24,3.58,44,Lic. en Biología Pesquera
5.97,7.88,2.45,3.47,4.86,3.96,44,Lic. en Biología Pesquera
6.61,7.42,3.86,2.84,5.26,2.38,44,Lic. en Biología Pesquera
6.44,7.55,3.41,2.23,5.98,1.8,44,Lic. en Biología Pesquera
7.0,7.29,2.7,2.28,5.73,2.35,44,Lic. en Biología Pesquera
7.0,7.87,3.2,1.84,4.88,1.74,44,Lic. en Biología Pesquera
5.66,6.54,3.73,3.17,6.03,2.71,44,Lic. en Biología Pesquera
7.04,6.5,2.46,3.88,5.06,3.7,44,Lic. en Biología Pesquera
6.63,7.69,3.84,2.57,5.25,2.99,44,Lic. en Biología Pesquera
6.08,6.62,2.11,1.54,5.03,3.17,44,Lic. en Biología Pesquera
7.54,3.34,3.61,3.88,6.64,5.29,45,Lic. en Gestión de Zona Costera
7.72,2.3,2.8,2.0,6.4,4.94,45,Lic. en Gestión de Zona Costera
7.37,1.75,3.89,1.98,5.72,5.72,45,Lic. en Gestión de Zona Costera
6.5,3.87,3.46,1.81,5.86,5.72,45,Lic. en Gestión de Zona Costera
7.57,1.55,2.54,2.01,6.74,6.26,45,Lic. en Gestión de Zona Costera
6.71,1.51,3.59,3.1,6.7,5.21,45,Lic. en Gestión de Zona Costera
7.27,1.6,2.01,1.83,6.23,5.81,45,Lic. en Gestión de Zona Costera
6.45,2.23,2.93,2.04,6.97,6.14,45,Lic. en Gestión de Zona Costera
6.75,2.61,2.61,3.3,6.62,6.08,45,Lic. en Gestión de Zona Costera
7.74,3.19,2.24,3.26,6.19,6.14,45,Lic. en Gestión de Zona Costera
7.65,1.69,1.63,1.84,6.46,5.99,45,Lic. en Gestión de Zona Costera
6.68,3.91,3.88,2.15,6.15,5.13,45,Lic. en Gestión de Zona Costera
7.82,3.37,3.33,3.78,6.43,5.61,45,Lic. en Gestión de Zona Costera
6.94,3.75,2.81,1.93,5.82,5.76,45,Lic. en Gestión de Zona Costera
6.62,3.63,2.83,2.19,6.08,5.27,45,Lic. en Gestión de Zona Costera
7.64,3.05,1.74,3.6,6.21,5.09,45,Lic. en Gestión de Zona Costera
6.59,2.82,3.45,3.29,5.78,4.96,45,Lic. en Gestión de Zona Costera
6.47,2.34,2.5,2.75,6.43,6.17,45,Lic. en Gestión de Zona Costera
7.19,2.51,1.83,2.83,5.61,5.72,45,Lic. en Gestión de Zona Costera
7.16,1.75,2.61,2.26,7.06,5.6,45,Lic. en Gestión de Zona Costera
7.79,2.27,2.42,2.96,7.06,5.19,45,Lic. en Gestión de Zona Costera
6.95,2.97,3.64,3.12,6.95,5.23,45,Lic. en Gestión de Zona Costera
7.55,2.19,2.11,3.31,5.6,5.84,45,Lic. en Gestión de Zona Costera
7.82,1.68,3.79,3.12,5.96,5.76,45,Lic. en Gestión de Zona Costera
7.5,3.5,3.07,1.86,6.36,5.23,45,Lic. en Gestión de Zona Costera
6.85,1.64,3.12,3.69,6.82,5.15,45,Lic. en Gestión de Zona Costera
7.48,3.78,3.96,3.9,6.56,6.1,45,Lic. en Gestión de Zona Costera
6.43,3.33,3.71,1.9,6.41,5.6,45,Lic. en Gestión de Zona Costera
6.49,3.33,3.78,1.96,6.88,5.74,45,Lic. en Gestión de Zona Costera
6.52,2.07,3.5,3.37,6.12,5.56,45,Lic. en Gestión de Zona Costera
6.97,1.96,2.92,3.82,6.55,6.21,45,Lic. en Gestión de Zona Costera
6.71,2.79,2.74,2.75,6.16,6.25,45,Lic. en Gestión de Zona Costera
7.86,3.14,1.71,3.86,6.68,5.2,45,Lic. en Gestión de Zona Costera
6.54,2.89,2.74,2.55,5.88,5.94,45,Lic. en Gestión de Zona Costera
7.01,2.4,3.01,2.96,6.8,5.23,45,Lic. en Gestión de Zona Costera
6.89,3.77,1.73,1.74,7.0,5.43,45,Lic. en Gestión de Zona Costera
6.71,3.92,2.12,3.43,6.93,5.0,45,Lic. en Gestión de Zona Costera
7.1,3.9,2.67,2.02,6.01,5.96,45,Lic. en Gestión de Zona Costera
7.36,3.11,2.31,3.74,6.74,5.7,45,Lic. en Gestión de Zona Costera
7.14,2.43,1.73,3.65,6.92,6.18,45,Lic. en Gestión de Zona Costera
7.78,2.89,2.15,1.82,6.87,5.85,45,Lic. en Gestión de Zona Costera
7.84,2.32,2.83,2.27,5.74,5.66,45,Lic. en Gestión de Zona Costera
6.48,3.45,3.81,3.56,5.87,6.01,45,Lic. en Gestión de Zona Costera
6.84,1.59,2.62,3.98,6.58,5.84,45,Lic. en Gestión de Zona Costera
7.12,3.92,3.45,3.28,7.08,5.21,45,Lic. en Gestión de Zona Costera
6.68,3.9,3.11,3.53,5.81,5.97,45,Lic. en Gestión de Zona Costera
7.42,3.83,3.27,3.11,6.06,6.26,45,Lic. en Gestión de Zona Costera
6.79,1.69,2.1,3.62,6.33,5.29,45,Lic. en Gestión de Zona Costera
6.58,1.61,1.86,3.53,6.17,5.12,45,Lic. en Gestión de Zona Costera
7.25,1.59,2.26,1.55,6.83,5.41,45,Lic. en Gestión de Zona Costera
7.44,2.52,3.15,2.25,5.65,5.06,45,Lic. en Gestión de Zona Costera
6.54,2.03,1.71,3.63,5.95,5.48,45,Lic. en Gestión de Zona Costera
7.9,2.6,3.29,3.9,6.4,6.03,45,Lic. en Gestión de Zona Costera
7.26,3.78,3.19,1.98,6.78,5.0,45,Lic. en Gestión de Zona Costera
7.12,3.95,3.96,2.98,5.95,5.08,45,Lic. en Gestión de Zona Costera
7.67,3.15,2.53,3.95,5.78,5.58,45,Lic. en Gestión de Zona Costera
7.44,3.49,3.95,2.25,6.13,5.54,45,Lic. en Gestión de Zona Costera
7.86,3.77,3.69,2.84,6.77,4.9,45,Lic. en Gestión de Zona Costera
7.25,2.07,3.56,3.78,5.78,5.08,45,Lic. en Gestión de Zona Costera
6.95,3.21,1.84,2.67,6.16,5.27,45,Lic. en Gestión de Zona Costera
6.52,1.66,3.14,3.39,5.88,5.72,45,Lic. en Gestión de Zona Costera
6.71,1.85,2.6,3.21,6.03,6.05,45,Lic. en Gestión de Zona Costera
6.88,1.8,2.93,3.15,7.09,5.5,45,Lic. en Gestión de Zona Costera
6.86,3.47,1.53,2.86,6.19,5.83,45,Lic. en Gestión de Zona Costera
7.4,3.92,1.54,2.83,6.54,5.46,45,Lic. en Gestión de Zona Costera
6.7,2.11,2.37,2.62,7.02,5.56,45,Lic. en Gestión de Zona Costera
7.79,2.11,3.65,2.98,6.68,5.07,45,Lic. en Gestión de Zona Costera
6.82,3.94,1.7,1.71,6.18,5.43,45,Lic. en Gestión de Zona Costera
6.67,2.38,3.52,3.29,6.21,5.15,45,Lic. en Gestión de Zona Costera
7.82,3.43,3.46,3.59,6.78,5.65,45,Lic. en Gestión de Zona Costera
7.62,3.8,3.53,2.22,6.41,6.14,45,Lic. en Gestión de Zona Costera
7.1,3.88,1.92,3.85,6.12,4.9,45,Lic. en Gestión de Zona Costera
6.72,2.79,2.93,2.28,6.27,4.81,45,Lic. en Gestión de Zona Costera
7.29,1.68,3.98,1.93,6.96,6.28,45,Lic. en Gestión de Zona Costera
6.82,2.8,3.72,2.04,6.21,4.81,45,Lic. en Gestión de Zona Costera
7.19,2.44,2.63,1.55,5.61,5.52,45,Lic. en Gestión de Zona Costera
6.67,2.69,3.73,2.19,6.6,5.33,45,Lic. en Gestión de Zona Costera
6.9,3.56,2.08,2.4,5.68,5.52,45,Lic. en Gestión de Zona Costera
6.6,2.4,2.62,3.48,6.5,5.12,45,Lic. en Gestión de Zona Costera
7.42,1.97,3.75,2.3,5.81,5.79,45,Lic. en Gestión de Zona Costera
6.92,2.21,2.11,1.98,5.61,5.99,45,Lic. en Gestión de Zona Costera
7.7,1.67,1.61,2.45,6.51,5.83,45,Lic. en Gestión de Zona Costera
7.41,1.54,2.04,1.68,6.35,5.88,45,Lic. en Gestión de Zona Costera
7.06,3.19,2.08,1.94,6.39,5.05,45,Lic. en Gestión de Zona Costera
6.58,2.36,3.31,3.15,5.83,5.68,45,Lic. en Gestión de Zona Costera
7.04,2.81,1.9,2.06,7.03,5.35,45,Lic. en Gestión de Zona Costera
7.04,3.16,3.27,3.34,6.25,5.06,45,Lic. en Gestión de Zona Costera
7.16,3.3,2.3,2.83,6.1,5.38,45,Lic. en Gestión de Zona Costera
6.57,3.58,2.83,3.02,5.9,5.17,45,Lic. en Gestión de Zona Costera
7.71,3.74,2.84,2.75,7.07,5.12,45,Lic. en Gestión de Zona Costera
7.39,3.11,3.82,1.84,5.69,5.24,45,Lic. en Gestión de Zona Costera
6.42,2.57,2.4,1.66,7.06,5.18,45,Lic. en Gestión de Zona Costera
7.79,1.59,2.15,3.94,7.07,5.24,45,Lic. en Gestión de Zona Costera
6.98,1.59,2.26,2.83,6.09,5.25,45,Lic. en Gestión de Zona Costera
7.27,3.31,2.04,2.29,6.05,6.26,45,Lic. en Gestión de Zona Costera
7.23,2.98,3.35,3.0,6.94,5.13,45,Lic. en Gestión de Zona Costera
7.19,2.29,1.75,3.48,6.87,5.7,45,Lic. en Gestión de Zona Costera
7.06,3.35,2.17,2.66,6.78,5.31,45,Lic. en Gestión de Zona Costera
6.9,3.76,3.02,2.91,5.6,5.13,45,Lic. en Gestión de Zona Costera
7.68,3.34,2.81,3.84,6.78,5.97,45,Lic. en Gestión de Zona Costera
6.53,6.14,3.34,3.37,5.98,3.38,46,Lic. en Ingeniería Agronómica
6.89,6.2,3.57,3.02,5.73,2.15,46,Lic. en Ingeniería Agronómica
6.86,6.69,3.03,3.81,4.84,2.44,46,Lic. en Ingeniería Agronómica
6.58,5.9,2.1,3.52,4.87,1.88,46,Lic. en Ingeniería Agronómica
7.63,6.51,2.2,3.99,5.58,2.67,46,Lic. en Ingeniería Agronómica
6.7,6.38,3.4,3.11,6.13,1.58,46,Lic. en Ingeniería Agronómica
6.92,5.76,2.94,3.55,5.57,3.43,46,Lic. en Ingeniería Agronómica
6.48,5.6,2.44,1.8,5.05,2.41,46,Lic. en Ingeniería Agronómica
7.14,7.03,1.58,3.91,5.8,2.37,46,Lic. en Ingeniería Agronómica
7.29,6.28,3.61,3.91,5.91,2.43,46,Lic. en Ingeniería Agronómica
6.77,6.45,3.93,2.42,5.86,3.87,46,Lic. en Ingeniería Agronómica
7.75,6.72,2.15,3.93,5.01,3.4,46,Lic. en Ingeniería Agronómica
6.82,6.69,2.72,3.87,5.85,2.36,46,Lic. en Ingeniería Agronómica
6.46,6.6,2.23,1.52,5.38,1.52,46,Lic. en Ingeniería Agronómica
7.76,6.32,2.47,2.01,6.14,2.08,46,Lic. en Ingeniería Agronómica
6.63,6.05,2.81,2.32,6.06,2.57,46,Lic. en Ingeniería Agronómica
7.83,6.23,1.74,2.06,5.73,3.62,46,Lic. en Ingeniería Agronómica
7.89,6.51,3.48,3.53,5.63,2.23,46,Lic. en Ingeniería Agronómica
7.46,6.26,3.69,2.59,5.42,1.61,46,Lic. en Ingeniería Agronómica
7.58,6.48,1.56,2.8,5.53,2.84,46,Lic. en Ingeniería Agronómica
6.51,6.15,2.66,3.54,4.88,2.9,46,Lic. en Ingeniería Agronómica
7.42,6.05,2.97,3.69,5.11,2.62,46,Lic. en Ingeniería Agronómica
7.07,6.7,2.97,2.92,5.72,3.5,46,Lic. en Ingeniería Agronómica
7.11,6.87,2.86,1.55,5.74,2.48,46,Lic. en Ingeniería Agronómica
7.2,6.89,2.41,2.58,5.41,2.85,46,Lic. en Ingeniería Agronómica
7.33,5.92,1.97,1.77,5.31,2.94,46,Lic. en Ingeniería Agronómica
6.66,5.71,3.08,1.59,5.88,2.07,46,Lic. en Ingeniería Agronómica
6.71,5.65,3.72,2.33,6.14,3.96,46,Lic. en Ingeniería Agronómica
6.82,6.7,1.84,2.32,5.64,1.54,46,Lic. en Ingeniería Agronómica
6.88,6.65,3.26,2.35,5.06,2.58,46,Lic. en Ingeniería Agronómica
6.68,5.92,3.5,1.97,5.21,2.43,46,Lic. en Ingeniería Agronómica
6.91,5.78,3.05,3.45,5.99,2.57,46,Lic. en Ingeniería Agronómica
7.15,6.52,3.92,3.95,5.42,2.8,46,Lic. en Ingeniería Agronómica
7.6,6.46,3.41,3.64,6.23,3.12,46,Lic. en Ingeniería Agronómica
7.62,6.76,2.97,3.52,4.91,3.29,46,Lic. en Ingeniería Agronómica
6.45,6.02,3.56,2.45,5.76,3.41,46,Lic. en Ingeniería Agronómica
7.75,6.89,1.93,2.83,5.05,1.54,46,Lic. en Ingeniería Agronómica
7.26,6.31,3.04,2.4,5.91,2.65,46,Lic. en Ingeniería Agronómica
6.62,6.51,3.84,1.63,5.27,2.23,46,Lic. en Ingeniería Agronómica
7.49,6.34,1.65,1.62,4.85,2.66,46,Lic. en Ingeniería Agronómica
7.43,6.92,3.36,1.59,5.76,3.94,46,Lic. en Ingeniería Agronómica
7.0,5.76,2.12,3.24,4.9,3.99,46,Lic. en Ingeniería Agronómica
6.69,6.54,3.57,1.55,5.09,3.05,46,Lic. en Ingeniería Agronómica
6.88,6.18,1.57,1.54,6.09,2.02,46,Lic. en Ingeniería Agronómica
6.58,6.33,2.25,3.94,6.03,3.72,46,Lic. en Ingeniería Agronómica
7.83,6.72,3.38,2.26,5.05,3.38,46,Lic. en Ingeniería Agronómica
7.84,6.45,2.32,2.28,5.31,3.06,46,Lic. en Ingeniería Agronómica
6.81,5.77,2.24,3.63,5.91,2.82,46,Lic. en Ingeniería Agronómica
7.8,6.11,2.22,3.85,6.25,2.08,46,Lic. en Ingeniería Agronómica
7.68,5.75,1.64,3.73,5.13,3.38,46,Lic. en Ingeniería Agronómica
7.17,6.6,1.63,3.67,5.42,3.57,46,Lic. en Ingeniería Agronómica
6.58,5.96,1.97,3.03,5.97,3.31,46,Lic. en Ingeniería Agronómica
6.97,6.9,2.37,2.37,5.49,2.44,46,Lic. en Ingeniería Agronómica
7.54,6.77,2.63,3.24,5.27,2.32,46,Lic. en Ingeniería Agronómica
6.73,6.89,3.76,3.27,5.4,2.67,46,Lic. en Ingeniería Agronómica
7.44,5.87,2.51,3.74,4.83,1.72,46,Lic. en Ingeniería Agronómica
7.22,5.99,3.95,2.18,5.99,3.34,46,Lic. en Ingeniería Agronómica
7.29,6.86,1.52,3.48,5.03,1.93,46,Lic. en Ingeniería Agronómica
7.39,6.47,3.56,3.6,6.26,2.36,46,Lic. en Ingeniería Agronómica
7.48,5.94,2.02,2.34,4.88,3.34,46,Lic. en Ingeniería Agronómica
6.53,5.8,2.68,3.91,5.16,2.59,46,Lic. en Ingeniería Agronómica
7.71,6.55,3.81,3.31,5.21,1.68,46,Lic. en Ingeniería Agronómica
7.02,6.38,2.02,2.75,5.9,2.15,46,Lic. en Ingeniería Agronómica
7.06,5.75,3.68,2.95,5.69,1.98,46,Lic. en Ingeniería Agronómica
6.46,6.33,3.83,2.95,6.21,1.83,46,Lic. en Ingeniería Agronómica
7.75,6.32,2.05,2.94,5.19,1.79,46,Lic. en Ingeniería Agronómica
6.96,6.18,3.25,2.72,5.13,3.59,46,Lic. en Ingeniería Agronómica
7.29,6.59,2.03,2.43,4.89,2.68,46,Lic. en Ingeniería Agronómica
7.85,6.39,2.19,2.0,5.12,2.27,46,Lic. en Ingeniería Agronómica
7.87,6.47,3.67,2.48,5.39,2.07,46,Lic. en Ingeniería Agronómica
7.03,6.01,2.4,2.26,5.23,3.46,46,Lic. en Ingeniería Agronómica
7.41,6.11,3.25,1.94,5.79,2.31,46,Lic. en Ingeniería Agronómica
7.45,6.82,3.98,1.94,5.93,3.33,46,Lic. en Ingeniería Agronómica
7.8,6.94,3.72,3.83,5.38,3.83,46,Lic. en Ingeniería Agronómica
7.17,6.39,1.64,3.21,4.81,2.16,46,Lic. en Ingeniería Agronómica
7.02,5.63,2.33,2.4,5.98,2.38,46,Lic. en Ingeniería Agronómica
7.53,6.99,2.65,3.29,5.1,1.58,46,Lic. en Ingeniería Agronómica
7.5,5.85,2.75,3.01,5.04,2.37,46,Lic. en Ingeniería Agronómica
7.43,6.56,1.56,3.83,5.64,3.47,46,Lic. en Ingeniería Agronómica
7.68,5.78,1.63,2.99,5.52,3.67,46,Lic. en Ingeniería Agronómica
7.12,5.99,3.07,2.78,5.64,3.4,46,Lic. en Ingeniería Agronómica
7.71,5.65,3.25,3.66,5.77,3.38,46,Lic. en Ingeniería Agronómica
7.02,6.88,2.03,3.83,5.62,3.71,46,Lic. en Ingeniería Agronómica
6.75,6.0,3.19,3.49,4.97,2.65,46,Lic. en Ingeniería Agronómica
7.83,6.66,1.6,2.22,4.93,3.88,46,Lic. en Ingeniería Agronómica
6.84,6.86,2.57,2.34,5.59,3.81,46,Lic. en Ingeniería Agronómica
6.73,6.45,2.81,3.88,4.85,3.07,46,Lic. en Ingeniería Agronómica
6.79,6.21,2.09,3.45,5.93,2.57,46,Lic. en Ingeniería Agronómica
7.57,6.76,1.52,2.31,5.37,3.27,46,Lic. en Ingeniería Agronómica
7.22,5.74,3.36,2.36,5.67,1.76,46,Lic. en Ingeniería Agronómica
6.59,5.87,2.1,2.14,5.8,2.36,46,Lic. en Ingeniería Agronómica
7.58,6.45,1.9,2.94,6.25,3.42,46,Lic. en Ingeniería Agronómica
6.89,6.19,2.28,2.89,5.79,2.1,46,Lic. en Ingeniería Agronómica
6.46,7.02,2.07,2.94,5.52,2.49,46,Lic. en Ingeniería Agronómica
7.39,6.65,1.99,1.86,5.2,1.87,46,Lic. en Ingeniería Agronómica
7.41,7.08,3.59,2.19,5.71,2.12,46,Lic. en Ingeniería Agronómica
6.75,6.01,3.32,2.23,4.95,3.18,46,Lic. en Ingeniería Agronómica
6.74,6.98,2.98,2.51,5.78,3.02,46,Lic. en Ingeniería Agronómica
6.88,6.9,3.63,2.95,4.87,2.24,46,Lic. en Ingeniería Agronómica
6.52,6.08,1.81,3.51,5.77,1.72,46,Lic. en Ingeniería Agronómica
6.56,7.55,1.79,2.43,4.91,3.31,47,Lic. en Ingeniería en Agrobiotecnología
6.98,6.53,2.01,3.64,5.63,2.03,47,Lic. en Ingeniería en Agrobiotecnología
5.85,6.98,2.14,2.26,5.3,3.19,47,Lic. en Ingeniería en Agrobiotecnología
6.11,6.51,1.68,3.87,5.29,3.66,47,Lic. en Ingeniería en Agrobiotecnología
7.07,7.66,2.15,3.77,5.24,1.73,47,Lic. en Ingeniería en Agrobiotecnología
6.33,6.57,2.81,3.02,5.41,3.47,47,Lic. en Ingeniería en Agrobiotecnología
5.8,6.82,3.39,3.85,5.15,2.4,47,Lic. en Ingeniería en Agrobiotecnología
5.89,7.7,2.9,3.29,5.15,1.6,47,Lic. en Ingeniería en Agrobiotecnología
6.66,7.61,1.55,3.49,5.25,3.16,47,Lic. en Ingeniería en Agrobiotecnología
5.8,6.91,2.21,2.75,5.2,2.09,47,Lic. en Ingeniería en Agrobiotecnología
5.62,7.76,3.94,3.44,4.9,3.37,47,Lic. en Ingeniería en Agrobiotecnología
5.74,7.43,3.03,4.0,6.26,3.41,47,Lic. en Ingeniería en Agrobiotecnología
5.79,7.0,2.16,2.39,5.86,1.87,47,Lic. en Ingeniería en Agrobiotecnología
6.99,6.41,1.96,3.66,5.88,2.57,47,Lic. en Ingeniería en Agrobiotecnología
6.27,6.83,2.13,1.65,5.77,3.19,47,Lic. en Ingeniería en Agrobiotecnología
6.14,6.43,2.01,3.58,5.32,2.86,47,Lic. en Ingeniería en Agrobiotecnología
5.74,7.04,1.57,3.37,5.12,2.58,47,Lic. en Ingeniería en Agrobiotecnología
6.54,6.48,3.88,2.97,5.04,2.52,47,Lic. en Ingeniería en Agrobiotecnología
5.85,6.43,2.34,3.78,4.91,2.22,47,Lic. en Ingeniería en Agrobiotecnología
6.92,7.49,2.2,2.89,5.75,2.49,47,Lic. en Ingeniería en Agrobiotecnología
6.39,6.71,2.02,2.83,4.95,2.57,47,Lic. en Ingeniería en Agrobiotecnología
5.92,7.65,3.99,3.88,6.1,2.94,47,Lic. en Ingeniería en Agrobiotecnología
6.57,7.04,3.71,2.43,6.19,3.32,47,Lic. en Ingeniería en Agrobiotecnología
6.9,6.82,3.1,1.96,5.61,2.53,47,Lic. en Ingeniería en Agrobiotecnología
6.54,6.67,3.2,3.28,5.62,3.79,47,Lic. en Ingeniería en Agrobiotecnología
5.66,7.77,2.85,1.61,5.93,3.6,47,Lic. en Ingeniería en Agrobiotecnología
6.29,7.49,2.44,3.17,6.03,3.6,47,Lic. en Ingeniería en Agrobiotecnología
6.88,7.46,2.61,2.01,5.74,3.48,47,Lic. en Ingeniería en Agrobiotecnología
6.52,7.07,3.04,1.65,5.81,2.69,47,Lic. en Ingeniería en Agrobiotecnología
6.37,7.21,3.85,3.64,5.56,3.45,47,Lic. en Ingeniería en Agrobiotecnología
6.64,7.12,1.64,3.75,5.71,2.51,47,Lic. en Ingeniería en Agrobiotecnología
5.97,6.92,2.71,2.61,5.14,3.24,47,Lic. en Ingeniería en Agrobiotecnología
6.94,6.82,3.11,1.6,5.62,3.45,47,Lic. en Ingeniería en Agrobiotecnología
6.57,6.5,1.74,3.9,5.72,3.3,47,Lic. en Ingeniería en Agrobiotecnología
5.98,6.45,2.8,2.58,6.18,2.61,47,Lic. en Ingeniería en Agrobiotecnología
5.97,7.25,1.78,2.75,5.91,3.93,47,Lic. en Ingeniería en Agrobiotecnología
6.01,6.97,2.02,3.13,5.48,3.34,47,Lic. en Ingeniería en Agrobiotecnología
6.18,7.43,3.13,2.71,5.63,1.86,47,Lic. en Ingeniería en Agrobiotecnología
6.64,6.61,2.01,2.39,5.65,3.93,47,Lic. en Ingeniería en Agrobiotecnología
7.04,7.36,2.82,2.57,6.12,3.61,47,Lic. en Ingeniería en Agrobiotecnología
